regiao,estado,mes,semana,mes_semana,febre,tosse,dor_garganta,dor_cabeca,dor_olhos,coriza,fadiga,nausea,diarreia,dor_peito,dor_muscular,dificuldade_respirar,cheiro_sabor,risco_idade,diabetes,hipertensao,doenca_respiratoria,doenca_cardiaca,depessao,cancer
Nordeste,PB,9,1,9_1,27,46,37,64,7,58,17,14,15,7,27,10,9,538,135,373,99,58,67,14
Nordeste,PB,9,4,9_4,18,32,19,48,13,38,12,9,13,10,27,4,8,584,153,403,86,67,52,23
Nordeste,PB,10,4,10_4,5,32,26,53,2,47,6,3,6,3,19,5,7,570,153,406,84,71,52,25
Nordeste,PB,10,2,10_2,16,34,26,62,8,40,13,11,9,5,23,6,10,589,146,363,82,68,63,17
Nordeste,PB,10,3,10_3,20,35,37,49,7,46,13,6,16,3,18,9,8,599,114,396,81,80,55,21
Nordeste,PB,11,4,11_4,17,50,29,53,10,50,9,9,8,4,21,6,7,579,157,415,96,64,54,23
Nordeste,PB,11,2,11_2,17,37,23,40,6,27,11,8,7,2,21,5,6,569,139,357,84,65,59,15
Nordeste,PB,11,3,11_3,16,36,33,59,7,48,15,6,17,4,24,6,16,611,122,424,76,83,53,24
Centro-Oeste,MT,10,3,10_3,8,16,18,21,0,23,4,2,3,1,11,2,6,622,141,385,85,61,69,23
Centro-Oeste,MT,10,1,10_1,24,22,21,41,8,22,27,10,7,9,30,7,8,608,143,360,101,67,68,22
Centro-Oeste,MT,11,2,11_2,19,29,20,39,5,24,19,8,8,10,23,11,3,678,154,413,94,85,61,30
Centro-Oeste,MT,11,1,11_1,25,30,32,41,6,38,13,11,14,7,24,10,7,619,145,370,97,72,66,22
Centro-Oeste,MT,9,2,9_2,39,58,54,70,28,50,49,17,18,19,47,23,26,688,149,403,92,81,56,33
Centro-Oeste,MT,9,3,9_3,31,53,45,65,21,41,30,19,14,15,37,28,19,641,148,394,79,67,72,24
Centro-Oeste,MT,9,1,9_1,43,50,40,69,18,39,35,19,17,11,46,16,24,614,146,354,92,67,72,22
Centro-Oeste,MT,9,4,9_4,40,49,49,77,19,34,38,21,17,15,54,21,27,688,134,388,97,63,54,23
Centro-Oeste,MT,10,4,10_4,14,20,17,34,1,20,12,7,5,9,19,5,4,637,139,387,89,69,52,21
Centro-Oeste,MT,10,2,10_2,37,42,38,55,14,47,35,22,12,17,39,25,13,665,148,396,98,83,55,32
Centro-Oeste,MT,11,3,11_3,21,36,30,39,7,23,17,9,8,3,30,6,16,613,147,396,87,64,80,26
Centro-Oeste,MT,11,4,11_4,26,29,31,41,9,35,18,7,6,9,22,8,13,655,150,410,94,66,61,24
Norte,TO,9,3,9_3,14,20,16,29,12,20,18,13,13,7,22,8,16,305,69,188,51,30,30,8
Norte,TO,9,1,9_1,19,18,19,35,11,23,17,11,15,10,29,10,15,274,65,170,56,28,33,8
Norte,TO,10,4,10_4,10,10,10,16,0,18,5,0,0,1,7,3,2,289,65,167,64,22,23,10
Norte,TO,11,4,11_4,11,20,13,18,2,13,7,5,1,4,15,11,7,288,66,172,62,22,25,11
Norte,TO,11,1,11_1,19,14,19,28,3,16,7,6,5,5,9,1,7,276,65,162,49,32,30,7
Norte,TO,9,4,9_4,15,33,17,32,5,16,14,6,12,7,22,8,9,294,65,173,67,26,23,10
Norte,TO,9,2,9_2,23,23,19,46,7,17,12,8,6,10,20,9,13,285,67,195,75,27,41,5
Norte,TO,10,3,10_3,8,10,16,17,6,9,5,3,3,4,7,4,5,304,73,183,54,35,29,6
Norte,TO,10,1,10_1,14,12,6,15,4,16,3,2,7,4,10,6,3,274,65,163,46,32,34,8
Norte,TO,10,2,10_2,8,20,27,34,4,22,11,8,8,7,9,11,8,284,64,187,76,32,38,5
Norte,TO,11,3,11_3,7,12,14,12,1,11,5,3,4,1,11,2,4,316,64,185,58,35,26,6
Norte,TO,11,2,11_2,6,18,14,21,2,13,8,1,5,4,13,4,2,293,56,179,82,33,37,5
Norte,RR,9,3,9_3,24,28,21,31,14,23,11,9,4,11,19,8,6,271,41,114,47,16,10,8
Norte,RR,9,1,9_1,14,24,20,21,9,8,11,8,6,9,9,10,4,246,42,95,33,8,10,3
Norte,RR,10,1,10_1,13,17,19,21,4,15,14,6,2,8,12,4,8,244,41,110,38,9,11,3
Norte,RR,11,2,11_2,15,18,16,16,5,14,12,3,5,6,10,7,7,268,74,134,56,12,14,7
Norte,RR,11,4,11_4,16,14,10,15,3,10,12,7,7,7,11,6,6,248,44,110,19,10,5,4
Norte,RR,9,2,9_2,34,30,26,44,22,26,22,14,13,25,33,22,24,262,71,120,54,9,15,7
Norte,RR,9,4,9_4,14,20,24,34,16,14,19,7,3,13,21,10,16,249,41,108,22,10,5,4
Norte,RR,10,3,10_3,9,16,17,25,6,15,12,7,5,7,10,5,7,261,44,124,40,16,10,8
Norte,RR,10,2,10_2,15,8,12,23,8,11,17,6,10,9,18,3,10,270,74,133,56,11,15,8
Norte,RR,10,4,10_4,14,9,10,20,1,13,9,2,6,0,5,4,4,251,46,110,21,10,5,4
Norte,RR,11,3,11_3,19,21,25,30,8,29,16,9,10,10,18,11,11,264,44,125,40,18,12,8
Norte,RR,11,1,11_1,14,12,15,28,7,14,12,5,5,4,12,2,11,245,47,113,40,10,11,3
Norte,PA,9,1,9_1,31,42,41,32,2,45,13,7,9,6,14,8,10,562,110,279,123,39,40,14
Norte,PA,9,3,9_3,32,46,53,46,10,55,16,4,14,12,19,10,13,597,128,307,99,64,36,12
Norte,PA,9,2,9_2,53,73,51,66,18,62,33,15,15,24,52,24,25,590,140,333,146,48,42,17
Norte,PA,10,4,10_4,43,69,72,63,7,76,36,13,13,20,27,15,14,639,136,317,131,49,42,23
Norte,PA,10,3,10_3,45,63,64,43,15,49,32,17,10,22,28,18,17,577,122,302,100,57,43,18
Norte,PA,10,2,10_2,44,75,66,41,11,46,23,14,4,12,21,13,5,576,134,322,157,48,44,18
Norte,PA,11,1,11_1,35,55,48,47,13,50,24,14,8,13,23,9,10,603,135,310,133,45,38,21
Norte,PA,11,4,11_4,36,43,38,54,13,47,24,11,18,17,26,14,13,645,144,321,134,51,39,26
Norte,PA,11,2,11_2,42,43,37,47,10,39,21,14,7,13,21,12,7,575,136,320,150,48,48,19
Norte,PA,9,4,9_4,34,56,35,42,8,47,19,8,14,11,15,13,17,659,128,319,145,49,45,23
Norte,PA,10,1,10_1,46,63,56,60,15,51,26,17,11,9,33,10,20,590,122,295,115,45,36,18
Norte,PA,11,3,11_3,37,51,45,55,8,53,26,10,15,14,29,13,7,596,126,317,109,65,42,15
Nordeste,SE,9,4,9_4,15,38,28,53,7,52,14,6,1,2,21,6,6,448,112,311,78,45,73,21
Nordeste,SE,9,1,9_1,24,34,19,43,6,48,8,4,8,2,28,8,4,446,119,282,99,46,55,17
Nordeste,SE,10,4,10_4,10,13,15,37,6,15,9,8,4,4,18,5,0,426,106,302,84,47,71,20
Nordeste,SE,11,4,11_4,14,26,20,24,3,29,14,9,11,4,21,6,4,423,100,307,89,45,71,22
Nordeste,SE,11,2,11_2,14,15,10,28,3,20,6,3,5,2,20,6,7,398,115,317,108,50,68,21
Nordeste,SE,11,3,11_3,9,12,8,20,4,11,6,2,5,6,12,3,2,383,112,288,79,51,51,18
Nordeste,SE,11,1,11_1,11,21,18,27,5,28,6,5,5,3,12,6,10,459,125,284,92,43,52,17
Nordeste,SE,9,2,9_2,26,36,30,54,14,55,15,13,16,6,34,7,13,405,114,317,106,53,62,23
Nordeste,SE,9,3,9_3,20,39,35,58,13,55,19,12,8,12,24,13,18,410,109,285,87,56,48,17
Nordeste,SE,10,2,10_2,10,24,27,43,11,28,10,6,5,3,23,8,3,398,112,320,110,48,66,22
Nordeste,SE,10,3,10_3,7,31,20,31,4,45,6,9,3,6,11,8,2,397,115,287,88,51,50,15
Nordeste,SE,10,1,10_1,21,16,15,36,6,27,10,8,6,4,17,3,3,443,128,290,106,44,54,20
Nordeste,PI,9,3,9_3,22,19,21,36,7,35,17,5,7,5,21,6,3,524,110,344,93,76,51,14
Nordeste,PI,10,4,10_4,6,9,12,21,2,13,11,2,6,3,7,2,7,485,109,354,74,55,47,12
