mes,semana,mes_semana,regiao,estado,buscou_estabelecimento_saude,foi_internado,sem_atendimento,sedado_entubado,respondentes
9,1,9_1,Nordeste,PB,1,1,0,0,1
9,3,9_3,Nordeste,PB,2,0,2,0,2
10,4,10_4,Nordeste,PB,20,0,0,0,20
10,3,10_3,Nordeste,PB,17,0,0,0,17
10,3,10_3,Nordeste,PB,12,0,0,0,12
10,2,10_2,Nordeste,PB,11,0,0,0,11
10,1,10_1,Nordeste,PB,12,0,0,0,12
10,4,10_4,Nordeste,PB,1,1,0,0,1
10,4,10_4,Nordeste,PB,5,0,0,0,5
10,1,10_1,Nordeste,PB,1,1,0,0,1
11,2,11_2,Nordeste,PB,13,0,0,0,13
11,1,11_1,Nordeste,PB,2,2,0,0,2
9,3,9_3,Norte,RO,1,1,0,0,1
9,1,9_1,Norte,RO,4,0,0,0,4
9,3,9_3,Norte,RO,8,0,0,0,8
9,3,9_3,Norte,RO,3,0,0,0,3
9,1,9_1,Norte,RO,1,1,0,0,1
10,4,10_4,Norte,RO,7,0,0,0,7
10,4,10_4,Norte,RO,5,0,0,0,5
10,3,10_3,Norte,RO,3,0,0,0,3
11,4,11_4,Norte,RO,6,0,0,0,6
11,4,11_4,Norte,RO,10,0,0,0,10
9,4,9_4,Norte,AM,14,0,0,0,14
9,3,9_3,Norte,AM,37,0,0,0,37
9,2,9_2,Norte,AM,12,0,0,0,12
9,4,9_4,Norte,AM,13,0,0,0,13
9,3,9_3,Norte,AM,2,2,0,0,2
9,2,9_2,Norte,AM,2,2,0,0,2
10,3,10_3,Norte,AM,24,0,0,0,24
10,3,10_3,Norte,AM,2,2,0,0,2
10,1,10_1,Norte,AM,2,2,0,0,2
10,3,10_3,Norte,AM,1,0,1,0,1
11,1,11_1,Norte,AM,12,0,0,0,12
11,1,11_1,Norte,AM,14,0,0,0,14
11,2,11_2,Norte,AM,3,0,0,0,3
11,4,11_4,Norte,AM,5,0,0,0,5
9,4,9_4,Nordeste,PI,7,0,0,0,7
9,1,9_1,Nordeste,PI,6,0,0,0,6
9,3,9_3,Nordeste,PI,15,0,0,0,15
9,4,9_4,Nordeste,PI,4,0,0,0,4
9,2,9_2,Nordeste,PI,1,1,0,0,1
10,1,10_1,Nordeste,PI,12,0,0,0,12
10,1,10_1,Nordeste,PI,1,1,0,1,1
10,1,10_1,Nordeste,PI,3,0,0,0,3
10,3,10_3,Nordeste,PI,4,0,0,0,4
10,3,10_3,Nordeste,PI,1,1,0,0,1
10,4,10_4,Nordeste,PI,4,0,0,0,4
10,2,10_2,Nordeste,PI,8,0,0,0,8
10,1,10_1,Nordeste,PI,1,1,0,0,1
11,2,11_2,Nordeste,PI,11,0,0,0,11
11,3,11_3,Nordeste,PI,12,0,0,0,12
11,3,11_3,Nordeste,PI,8,0,0,0,8
11,2,11_2,Nordeste,PI,1,1,0,1,1
9,1,9_1,Nordeste,AL,14,0,0,0,14
9,2,9_2,Nordeste,AL,11,0,0,0,11
9,1,9_1,Nordeste,AL,12,0,0,0,12
9,3,9_3,Nordeste,AL,4,4,0,0,4
9,3,9_3,Nordeste,AL,7,0,0,0,7
10,1,10_1,Nordeste,AL,11,0,0,0,11
10,4,10_4,Nordeste,AL,9,0,0,0,9
10,2,10_2,Nordeste,AL,6,0,0,0,6
10,3,10_3,Nordeste,AL,10,0,0,0,10
10,4,10_4,Nordeste,AL,1,1,0,0,1
11,3,11_3,Nordeste,AL,8,0,0,0,8
11,4,11_4,Nordeste,AL,14,0,0,0,14
11,4,11_4,Nordeste,AL,9,0,0,0,9
11,2,11_2,Nordeste,AL,2,2,0,0,2
11,4,11_4,Nordeste,AL,1,1,0,0,1
9,3,9_3,Nordeste,PE,11,0,0,0,11
9,4,9_4,Nordeste,PE,15,0,0,0,15
9,2,9_2,Nordeste,PE,20,0,0,0,20
9,2,9_2,Nordeste,PE,23,0,0,0,23
9,1,9_1,Nordeste,PE,9,0,0,0,9
9,1,9_1,Nordeste,PE,2,2,0,0,2
9,2,9_2,Nordeste,PE,1,1,0,0,1
9,3,9_3,Nordeste,PE,1,1,0,1,1
10,2,10_2,Nordeste,PE,1,1,0,0,1
10,3,10_3,Nordeste,PE,19,0,0,0,19
10,2,10_2,Nordeste,PE,3,0,0,0,3
10,2,10_2,Nordeste,PE,2,2,0,2,2
10,3,10_3,Nordeste,PE,1,1,0,0,1
11,2,11_2,Nordeste,PE,5,0,0,0,5
11,3,11_3,Nordeste,PE,31,0,0,0,31
11,3,11_3,Nordeste,PE,2,2,0,0,2
11,2,11_2,Nordeste,PE,19,0,0,0,19
11,2,11_2,Nordeste,PE,1,1,0,1,1
11,1,11_1,Nordeste,PE,1,1,0,0,1
11,3,11_3,Nordeste,PE,1,1,0,1,1
9,2,9_2,Sudeste,ES,21,0,0,0,21
9,2,9_2,Sudeste,ES,14,0,0,0,14
9,3,9_3,Sudeste,ES,19,0,0,0,19
9,3,9_3,Sudeste,ES,8,0,0,0,8
10,1,10_1,Sudeste,ES,15,0,0,0,15
10,3,10_3,Sudeste,ES,21,0,0,0,21
10,2,10_2,Sudeste,ES,1,1,0,0,1
10,2,10_2,Sudeste,ES,15,0,0,0,15
10,4,10_4,Sudeste,ES,6,0,0,0,6
10,3,10_3,Sudeste,ES,1,1,0,0,1
10,1,10_1,Sudeste,ES,2,0,2,0,2
10,1,10_1,Sudeste,ES,1,1,0,1,1
11,4,11_4,Sudeste,ES,30,0,0,0,30
11,2,11_2,Sudeste,ES,34,0,0,0,34
11,2,11_2,Sudeste,ES,3,3,0,3,3
11,3,11_3,Sudeste,ES,21,0,0,0,21
11,2,11_2,Sudeste,ES,1,1,0,0,1
11,4,11_4,Sudeste,ES,1,0,1,0,1
9,2,9_2,Centro-Oeste,MT,23,0,0,0,23
9,4,9_4,Centro-Oeste,MT,25,0,0,0,25
9,2,9_2,Centro-Oeste,MT,19,0,0,0,19
9,1,9_1,Centro-Oeste,MT,14,0,0,0,14
9,3,9_3,Centro-Oeste,MT,4,4,0,4,4
9,3,9_3,Centro-Oeste,MT,1,0,1,0,1
9,1,9_1,Centro-Oeste,MT,4,4,0,4,4
10,2,10_2,Centro-Oeste,MT,14,0,0,0,14
10,4,10_4,Centro-Oeste,MT,9,0,0,0,9
10,1,10_1,Centro-Oeste,MT,8,0,0,0,8
10,2,10_2,Centro-Oeste,MT,23,0,0,0,23
10,3,10_3,Centro-Oeste,MT,5,0,0,0,5
10,3,10_3,Centro-Oeste,MT,2,2,0,0,2
11,4,11_4,Centro-Oeste,MT,9,0,0,0,9
11,2,11_2,Centro-Oeste,MT,11,0,0,0,11
11,3,11_3,Centro-Oeste,MT,12,0,0,0,12
11,2,11_2,Centro-Oeste,MT,14,0,0,0,14
11,3,11_3,Centro-Oeste,MT,14,0,0,0,14
11,3,11_3,Centro-Oeste,MT,2,2,0,2,2
11,2,11_2,Centro-Oeste,MT,1,1,0,0,1
11,4,11_4,Centro-Oeste,MT,2,2,0,0,2
9,4,9_4,Nordeste,SE,1,1,0,1,1
10,4,10_4,Nordeste,SE,4,0,0,0,4
10,3,10_3,Nordeste,SE,7,0,0,0,7
10,2,10_2,Nordeste,SE,5,0,0,0,5
10,2,10_2,Nordeste,SE,5,0,0,0,5
11,3,11_3,Nordeste,SE,1,1,0,0,1
11,4,11_4,Nordeste,SE,6,0,0,0,6
11,4,11_4,Nordeste,SE,2,2,0,0,2
11,4,11_4,Nordeste,SE,1,0,1,0,1
11,3,11_3,Nordeste,SE,2,0,0,0,2
11,3,11_3,Nordeste,SE,4,0,0,0,4
11,1,11_1,Nordeste,SE,11,0,0,0,11
9,3,9_3,Centro-Oeste,GO,4,4,0,0,4
9,2,9_2,Centro-Oeste,GO,38,0,0,0,38
9,2,9_2,Centro-Oeste,GO,31,0,0,0,31
9,4,9_4,Centro-Oeste,GO,25,0,0,0,25
9,4,9_4,Centro-Oeste,GO,23,0,0,0,23
9,1,9_1,Centro-Oeste,GO,2,2,0,0,2
10,4,10_4,Centro-Oeste,GO,5,5,0,0,5
10,3,10_3,Centro-Oeste,GO,34,0,0,0,34
10,4,10_4,Centro-Oeste,GO,17,0,0,0,17
10,2,10_2,Centro-Oeste,GO,21,0,0,0,21
10,3,10_3,Centro-Oeste,GO,16,0,0,0,16
10,1,10_1,Centro-Oeste,GO,28,0,0,0,28
10,1,10_1,Centro-Oeste,GO,2,2,0,0,2
10,2,10_2,Centro-Oeste,GO,2,2,0,0,2
10,3,10_3,Centro-Oeste,GO,2,2,0,0,2
11,4,11_4,Centro-Oeste,GO,29,0,0,0,29
11,2,11_2,Centro-Oeste,GO,20,0,0,0,20
11,4,11_4,Centro-Oeste,GO,2,2,0,2,2
11,2,11_2,Centro-Oeste,GO,25,0,0,0,25
11,3,11_3,Centro-Oeste,GO,25,0,0,0,25
11,1,11_1,Centro-Oeste,GO,14,0,0,0,14
11,1,11_1,Centro-Oeste,GO,3,3,0,0,3
11,3,11_3,Centro-Oeste,GO,8,0,0,0,8
11,3,11_3,Centro-Oeste,GO,1,1,0,1,1
11,3,11_3,Centro-Oeste,GO,1,1,0,0,1
9,2,9_2,Nordeste,CE,20,0,0,0,20
9,4,9_4,Nordeste,CE,10,0,0,0,10
9,1,9_1,Nordeste,CE,12,0,0,0,12
9,1,9_1,Nordeste,CE,1,1,0,0,1
9,3,9_3,Nordeste,CE,1,1,0,0,1
10,1,10_1,Nordeste,CE,31,0,0,0,31
10,4,10_4,Nordeste,CE,19,0,0,0,19
10,4,10_4,Nordeste,CE,15,0,0,0,15
10,3,10_3,Nordeste,CE,2,2,0,2,2
10,2,10_2,Nordeste,CE,11,0,0,0,11
10,3,10_3,Nordeste,CE,1,1,0,0,1
10,1,10_1,Nordeste,CE,1,0,1,0,1
11,1,11_1,Nordeste,CE,16,0,0,0,16
11,3,11_3,Nordeste,CE,8,0,0,0,8
11,4,11_4,Nordeste,CE,24,0,0,0,24
11,4,11_4,Nordeste,CE,1,0,1,0,1
11,4,11_4,Nordeste,CE,10,0,0,0,10
11,4,11_4,Nordeste,CE,1,1,0,1,1
11,3,11_3,Nordeste,CE,4,4,0,0,4
11,2,11_2,Nordeste,CE,12,0,0,0,12
9,2,9_2,Sul,SC,37,0,0,0,37
9,4,9_4,Sul,SC,39,0,0,0,39
9,4,9_4,Sul,SC,8,8,0,0,8
9,4,9_4,Sul,SC,1,0,1,0,1
9,3,9_3,Sul,SC,1,1,0,0,1
10,3,10_3,Sul,SC,22,0,0,0,22
10,1,10_1,Sul,SC,13,0,0,0,13
10,4,10_4,Sul,SC,24,0,0,0,24
10,4,10_4,Sul,SC,60,0,0,0,60
10,3,10_3,Sul,SC,37,0,0,0,37
11,4,11_4,Sul,SC,50,0,0,0,50
11,3,11_3,Sul,SC,57,0,0,0,57
11,1,11_1,Sul,SC,17,0,0,0,17
11,2,11_2,Sul,SC,6,6,0,0,6
11,4,11_4,Sul,SC,40,0,0,0,40
11,1,11_1,Sul,SC,1,1,0,0,1
11,3,11_3,Sul,SC,2,2,0,0,2
9,2,9_2,Nordeste,BA,18,0,0,0,18
9,2,9_2,Nordeste,BA,24,0,0,0,24
9,1,9_1,Nordeste,BA,16,0,0,0,16
9,3,9_3,Nordeste,BA,3,3,0,0,3
9,4,9_4,Nordeste,BA,2,2,0,0,2
9,3,9_3,Nordeste,BA,1,1,0,1,1
10,2,10_2,Nordeste,BA,18,0,0,0,18
10,4,10_4,Nordeste,BA,23,0,0,0,23
10,3,10_3,Nordeste,BA,12,0,0,0,12
10,2,10_2,Nordeste,BA,21,0,0,0,21
10,2,10_2,Nordeste,BA,2,2,0,0,2
10,2,10_2,Nordeste,BA,2,2,0,2,2
10,1,10_1,Nordeste,BA,2,2,0,2,2
10,4,10_4,Nordeste,BA,2,2,0,0,2
10,3,10_3,Nordeste,BA,1,1,0,0,1
11,2,11_2,Nordeste,BA,17,0,0,0,17
11,1,11_1,Nordeste,BA,11,0,0,0,11
11,4,11_4,Nordeste,BA,35,0,0,0,35
11,3,11_3,Nordeste,BA,16,0,0,0,16
11,3,11_3,Nordeste,BA,12,0,0,0,12
11,1,11_1,Nordeste,BA,16,0,0,0,16
11,1,11_1,Nordeste,BA,2,2,0,0,2
9,2,9_2,Sul,PR,34,0,0,0,34
9,1,9_1,Sul,PR,28,0,0,0,28
9,4,9_4,Sul,PR,20,0,0,0,20
9,3,9_3,Sul,PR,13,0,0,0,13
9,1,9_1,Sul,PR,6,6,0,0,6
9,2,9_2,Sul,PR,4,4,0,0,4
9,2,9_2,Sul,PR,1,1,0,1,1
10,4,10_4,Sul,PR,19,0,0,0,19
10,2,10_2,Sul,PR,21,0,0,0,21
10,3,10_3,Sul,PR,23,0,0,0,23
10,1,10_1,Sul,PR,28,0,0,0,28
10,3,10_3,Sul,PR,28,0,0,0,28
10,4,10_4,Sul,PR,20,0,0,0,20
10,4,10_4,Sul,PR,2,2,0,0,2
10,3,10_3,Sul,PR,2,2,0,0,2
11,2,11_2,Sul,PR,27,0,0,0,27
11,3,11_3,Sul,PR,3,3,0,0,3
11,3,11_3,Sul,PR,39,0,0,0,39
11,2,11_2,Sul,PR,1,1,0,1,1
9,1,9_1,Sul,RS,25,0,0,0,25
9,4,9_4,Sul,RS,51,0,0,0,51
9,2,9_2,Sul,RS,27,0,0,0,27
9,2,9_2,Sul,RS,37,0,0,0,37
9,1,9_1,Sul,RS,3,3,0,3,3
9,1,9_1,Sul,RS,5,5,0,0,5
9,2,9_2,Sul,RS,3,3,0,0,3
9,2,9_2,Sul,RS,1,1,0,1,1
10,1,10_1,Sul,RS,2,2,0,0,2
10,3,10_3,Sul,RS,1,1,0,1,1
10,4,10_4,Sul,RS,3,3,0,0,3
10,4,10_4,Sul,RS,11,0,0,0,11
10,1,10_1,Sul,RS,1,1,0,1,1
10,2,10_2,Sul,RS,1,1,0,1,1
11,2,11_2,Sul,RS,44,0,0,0,44
11,4,11_4,Sul,RS,49,0,0,0,49
11,3,11_3,Sul,RS,4,4,0,0,4
11,4,11_4,Sul,RS,1,1,0,1,1
11,3,11_3,Sul,RS,1,1,0,1,1
11,1,11_1,Sul,RS,3,3,0,0,3
11,2,11_2,Sul,RS,4,4,0,0,4
11,3,11_3,Sul,RS,1,0,1,0,1
9,2,9_2,Sudeste,MG,71,0,0,0,71
9,2,9_2,Sudeste,MG,39,0,0,0,39
9,1,9_1,Sudeste,MG,35,0,0,0,35
9,1,9_1,Sudeste,MG,4,4,0,0,4
9,1,9_1,Sudeste,MG,48,0,0,0,48
9,3,9_3,Sudeste,MG,2,2,0,0,2
10,3,10_3,Sudeste,MG,37,0,0,0,37
10,4,10_4,Sudeste,MG,42,0,0,0,42
10,2,10_2,Sudeste,MG,38,0,0,0,38
10,2,10_2,Sudeste,MG,5,5,0,0,5
10,1,10_1,Sudeste,MG,1,0,1,0,1
11,4,11_4,Sudeste,MG,58,0,0,0,58
11,2,11_2,Sudeste,MG,40,0,0,0,40
11,3,11_3,Sudeste,MG,63,0,0,0,63
11,1,11_1,Sudeste,MG,34,0,0,0,34
11,1,11_1,Sudeste,MG,6,6,0,0,6
11,3,11_3,Sudeste,MG,3,3,0,0,3
11,2,11_2,Sudeste,MG,1,1,0,0,1
11,1,11_1,Sudeste,MG,1,1,0,1,1
9,3,9_3,Nordeste,MA,24,0,0,0,24
9,1,9_1,Nordeste,MA,26,0,0,0,26
9,1,9_1,Nordeste,MA,41,0,0,0,41
9,2,9_2,Nordeste,MA,25,0,0,0,25
9,2,9_2,Nordeste,MA,13,0,0,0,13
9,1,9_1,Nordeste,MA,3,3,0,0,3
9,4,9_4,Nordeste,MA,2,2,0,0,2
10,2,10_2,Nordeste,MA,13,0,0,0,13
10,4,10_4,Nordeste,MA,21,0,0,0,21
10,1,10_1,Nordeste,MA,19,0,0,0,19
10,1,10_1,Nordeste,MA,1,1,0,1,1
10,1,10_1,Nordeste,MA,5,0,5,0,5
11,3,11_3,Nordeste,MA,21,0,0,0,21
11,4,11_4,Nordeste,MA,21,0,0,0,21
11,2,11_2,Nordeste,MA,8,0,0,0,8
11,1,11_1,Nordeste,MA,19,0,0,0,19
11,1,11_1,Nordeste,MA,18,0,0,0,18
11,1,11_1,Nordeste,MA,3,3,0,0,3
11,3,11_3,Nordeste,MA,1,1,0,0,1
11,2,11_2,Nordeste,MA,1,1,0,1,1
11,3,11_3,Nordeste,MA,1,0,1,0,1
9,3,9_3,Sudeste,RJ,25,0,0,0,25
9,1,9_1,Sudeste,RJ,22,0,0,0,22
9,4,9_4,Sudeste,RJ,23,0,0,0,23
9,2,9_2,Sudeste,RJ,28,0,0,0,28
9,2,9_2,Sudeste,RJ,18,0,0,0,18
9,3,9_3,Sudeste,RJ,20,0,0,0,20
9,4,9_4,Sudeste,RJ,10,0,0,0,10
9,2,9_2,Sudeste,RJ,5,5,0,0,5
9,3,9_3,Sudeste,RJ,1,0,1,0,1
9,1,9_1,Sudeste,RJ,1,0,1,0,1
10,4,10_4,Sudeste,RJ,35,0,0,0,35
10,3,10_3,Sudeste,RJ,30,0,0,0,30
10,3,10_3,Sudeste,RJ,20,0,0,0,20
10,1,10_1,Sudeste,RJ,11,0,0,0,11
10,1,10_1,Sudeste,RJ,19,0,0,0,19
10,4,10_4,Sudeste,RJ,15,0,0,0,15
10,3,10_3,Sudeste,RJ,2,2,0,0,2
10,2,10_2,Sudeste,RJ,15,0,0,0,15
10,1,10_1,Sudeste,RJ,2,2,0,0,2
