regiao,estado,raca_cor,escolaridade,respondentes
Nordeste,MA,Preta,"Pós-graduação, mestrado ou doutorado",138
Nordeste,MA,Amarela,Médio completo,79
Nordeste,MA,Amarela,Superior completo,22
Nordeste,MA,Preta,Superior incompleto,265
Nordeste,MA,Indígena,Fundamental completo,14
Nordeste,MA,Ignorada,Médio completo,2
Nordeste,MA,Amarela,Superior incompleto,4
Nordeste,MA,Indígena,Superior completo,4
Sul,SC,Branca,Superior incompleto,3944
Sul,SC,Branca,Fundamental incompleto,17856
Sul,SC,Branca,Médio completo,13083
Sul,SC,Parda,Médio completo,1962
Sul,SC,Branca,Sem instrução,4489
Sul,SC,Branca,Fundamental completo,5823
Sul,SC,Parda,Fundamental completo,1017
Sul,SC,Parda,Superior completo,572
Sul,SC,Parda,"Pós-graduação, mestrado ou doutorado",162
Sul,SC,Parda,Superior incompleto,476
Sul,SC,Amarela,Superior incompleto,17
Sul,SC,Amarela,Fundamental incompleto,60
Sul,SC,Amarela,Fundamental completo,17
Sul,SC,Indígena,Fundamental incompleto,29
Sul,SC,Ignorada,Fundamental incompleto,3
Sul,SC,Ignorada,Sem instrução,4
Sul,SC,Ignorada,Superior completo,2
Sul,SC,Indígena,Superior completo,11
Sul,SC,Indígena,Médio completo,8
Sul,SC,Indígena,Superior incompleto,11
Sul,SC,Amarela,Médio incompleto,16
Sul,SC,Amarela,"Pós-graduação, mestrado ou doutorado",3
Sul,SC,Ignorada,Médio incompleto,2
Sul,SC,Ignorada,Médio completo,3
Sul,RS,Branca,Fundamental incompleto,19037
Sul,RS,Branca,Sem instrução,4011
Sul,RS,Branca,Superior completo,5922
Sul,RS,Parda,Fundamental completo,715
Sul,RS,Parda,Superior completo,393
Sul,RS,Preta,Médio completo,853
Sul,RS,Preta,Sem instrução,259
Sul,RS,Preta,Médio incompleto,386
Sul,RS,Parda,Médio incompleto,866
Sul,RS,Parda,"Pós-graduação, mestrado ou doutorado",118
Sul,RS,Preta,Superior incompleto,214
Sul,RS,Indígena,Superior completo,7
Sul,RS,Preta,"Pós-graduação, mestrado ou doutorado",40
Sul,RS,Indígena,Fundamental incompleto,43
Sul,RS,Indígena,Médio completo,19
Sul,RS,Amarela,"Pós-graduação, mestrado ou doutorado",6
Sul,RS,Ignorada,Médio incompleto,1
Sul,RS,Ignorada,Superior incompleto,1
Sul,RS,Indígena,Fundamental completo,7
Sul,RS,Ignorada,Fundamental incompleto,3
Sul,RS,Ignorada,Superior completo,2
Sudeste,RJ,Parda,Fundamental completo,3029
Sudeste,RJ,Preta,Sem instrução,651
Sudeste,RJ,Preta,Fundamental incompleto,2993
Sudeste,RJ,Parda,Superior incompleto,1818
Sudeste,RJ,Branca,Médio completo,10384
Sudeste,RJ,Parda,Sem instrução,2737
Sudeste,RJ,Branca,Superior completo,7829
Sudeste,RJ,Preta,"Pós-graduação, mestrado ou doutorado",201
Sudeste,RJ,Preta,Superior completo,880
Sudeste,RJ,Indígena,Superior incompleto,15
Sudeste,RJ,Indígena,"Pós-graduação, mestrado ou doutorado",28
Sudeste,RJ,Indígena,Médio incompleto,6
Sudeste,RJ,Indígena,Fundamental incompleto,51
Sudeste,RJ,Amarela,Médio completo,73
Sudeste,RJ,Indígena,Fundamental completo,24
Sudeste,RJ,Amarela,Sem instrução,12
Sudeste,RJ,Ignorada,"Pós-graduação, mestrado ou doutorado",2
Sudeste,RJ,Indígena,Sem instrução,3
Sudeste,RJ,Ignorada,Sem instrução,1
Sudeste,SP,Branca,Superior completo,9965
Sudeste,SP,Branca,Sem instrução,4984
Sudeste,SP,Branca,Médio completo,14420
Sudeste,SP,Branca,Médio incompleto,4668
Sudeste,SP,Branca,"Pós-graduação, mestrado ou doutorado",2259
Sudeste,SP,Amarela,Fundamental incompleto,246
Sudeste,SP,Parda,Sem instrução,2811
Sudeste,SP,Parda,Fundamental incompleto,9273
Sudeste,SP,Parda,Médio incompleto,3180
Sudeste,SP,Parda,Fundamental completo,2751
Sudeste,SP,Parda,Superior incompleto,1171
Sudeste,SP,Preta,Médio completo,1969
Sudeste,SP,Preta,Fundamental incompleto,1746
Sudeste,SP,Preta,Sem instrução,419
Sudeste,SP,Preta,Fundamental completo,623
Sudeste,SP,Preta,Médio incompleto,617
Sudeste,SP,Preta,Superior completo,683
Sudeste,SP,Amarela,Superior completo,477
Sudeste,SP,Preta,Superior incompleto,379
Sudeste,SP,Indígena,Médio completo,41
Sudeste,SP,Indígena,Superior completo,15
Sudeste,SP,Ignorada,Fundamental incompleto,7
Sudeste,SP,Ignorada,Superior completo,5
Sudeste,SP,Ignorada,Sem instrução,8
Sudeste,SP,Indígena,"Pós-graduação, mestrado ou doutorado",1
Sudeste,SP,Ignorada,Médio incompleto,2
Sudeste,SP,Ignorada,Superior incompleto,2
Sudeste,MG,Branca,Sem instrução,3906
Sudeste,MG,Parda,Médio incompleto,5145
Sudeste,MG,Parda,Superior completo,2925
Sudeste,MG,Parda,Fundamental incompleto,20177
Sudeste,MG,Parda,Sem instrução,5214
Sudeste,MG,Preta,Superior completo,638
Sudeste,MG,Branca,Superior incompleto,2187
Sudeste,MG,Branca,Médio incompleto,3343
Sudeste,MG,Preta,Médio incompleto,1230
Sudeste,MG,Preta,Médio completo,2573
Sudeste,MG,Branca,Fundamental completo,2869
Sudeste,MG,Preta,Fundamental completo,911
Sudeste,MG,Indígena,Superior completo,5
Sudeste,MG,Preta,"Pós-graduação, mestrado ou doutorado",142
Sudeste,MG,Amarela,"Pós-graduação, mestrado ou doutorado",15
Sudeste,MG,Amarela,Médio incompleto,13
Sudeste,MG,Indígena,"Pós-graduação, mestrado ou doutorado",3
Sudeste,MG,Amarela,Superior incompleto,18
Sudeste,MG,Indígena,Superior incompleto,7
Sudeste,MG,Indígena,Sem instrução,6
